En = 72.8 ± 2.0 MeV     Proton cross sections																				
15	0.057	0.056	0.019	0.043	0.021	0.036	0.017	0.033	0.023	0.019	0.015	0.008	0.007	0.009	0.005	0.007	0.006	0.006	0.006	0.23
17	0.063	0.062	0.020	0.044	0.021	0.034	0.015	0.029	0.022	0.017	0.014	0.007	0.006	0.008	0.005	0.006	0.006	0.005	0.005	0.22
19	0.070	0.068	0.021	0.048	0.022	0.033	0.011	0.027	0.021	0.016	0.012	0.006	0.005	0.006	0.004	0.004	0.005	0.004	0.004	0.21
21	0.080	0.078	0.022	0.050	0.023	0.035	0.012	0.026	0.020	0.015	0.011	0.005	0.004	0.005	0.004	0.003	0.004	0.003	0.003	0.21
23	0.088	0.086	0.023	0.052	0.023	0.036	0.012	0.024	0.019	0.013	0.010	0.005	0.004	0.004	0.003	0.003	0.004	0.002	0.002	0.20
25	0.093	0.090	0.024	0.053	0.022	0.035	0.012	0.021	0.016	0.011	0.008	0.005	0.003	0.003	0.003	0.002	0.003	0.001	0.001	0.19
27	0.096	0.093	0.025	0.054	0.020	0.034	0.012	0.019	0.014	0.009	0.006	0.004	0.002	0.002	0.003	0.001	0.003	0.002	0.001	0.18
29	0.101	0.098	0.026	0.054	0.020	0.035	0.012	0.018	0.012	0.008	0.005	0.004	0.002	0.002	0.003	0.001	0.002	0.002	0.001	0.17
31	0.104	0.100	0.026	0.054	0.019	0.035	0.011	0.018	0.011	0.007	0.004	0.003	0.001	0.001	0.002	0.001	0.001	0.001	0.001	0.16
33	0.104	0.099	0.026	0.053	0.018	0.034	0.010	0.017	0.009	0.005	0.003	0.003	0.001	0.001	0.002	0.001	0.001	0.000	0.001	0.16
35	0.105	0.100	0.026	0.053	0.018	0.030	0.009	0.016	0.007	0.004	0.002	0.002	0.001	0.001	0.002	0.001	0.001	0.000	0.001	0.14
37	0.109	0.103	0.026	0.052	0.018	0.026	0.008	0.015	0.005	0.003	0.001	0.002	0.001	0.001	0.001	0.001	0.001	---	---	0.13
39	0.114	0.107	0.026	0.052	0.018	0.025	0.008	0.015	0.004	0.002	0.001	0.002	0.001	0.001	0.001	---	---	---	---	0.13
41	0.119	0.112	0.026	0.053	0.017	0.025	0.007	0.013	0.003	0.001	0.001	0.001	0.001	---	---	---	---	---	---	0.12
43	0.117	0.109	0.026	0.052	0.016	0.023	0.007	0.013	0.002	0.001	0.001	0.001	---	---	---	---	---	---	---	0.12
45	0.117	0.109	0.026	0.051	0.015	0.023	0.007	0.013	0.002	0.001	0.001	---	---	---	---	---	---	---	---	0.11
47	0.117	0.109	0.027	0.049	0.015	0.023	0.007	0.013	0.002	0.001	0.001	---	---	---	---	---	---	---	---	0.12
49	0.135	0.126	0.028	0.048	0.016	0.026	0.008	0.011	0.002	0.001	0.001	---	---	---	---	---	---	---	---	0.12
51	0.170	0.157	0.030	0.052	0.018	0.027	0.006	0.008	0.001	0.001	---	---	---	---	---	---	---	---	---	0.13
53	0.193	0.174	0.030	0.059	0.017	0.022	0.004	0.004	0.001	---	---	---	---	---	---	---	---	---	---	0.12
55	0.141	0.124	0.024	0.051	0.013	0.016	0.002	---	---	---	---	---	---	---	---	---	---	---	---	0.09
57	0.089	0.078	0.019	0.038	0.009	0.010	---	---	---	---	---	---	---	---	---	---	---	---	---	0.06
59	0.081	0.065	0.015	0.029	0.003	---	---	---	---	---	---	---	---	---	---	---	---	---	---	0.04
61	0.003	0.003	0.005	0.008	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	0.01
63	0.001	0.001	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	0.00
ds/dW	5.44	5.11	1.55	2.84	1.24	1.69	0.66	1.21	0.61	0.45	0.35	0.22	0.22	0.18	0.17	0.14	0.16	0.12	0.12	9.8
																				
																				
En = 72.8 ± 2.0 MeV     Deuteron cross sections																				
q (deg)	2.5*	10*	20	30	40	50	60	70	80*	90*	100*	110	120	130*	140	150*	160	170*	177.5*	
E (MeV)																				ds/dE
9	0.367	0.361	0.318	0.363	0.277	0.239	0.201	0.156	0.136	0.110	0.090	0.108	0.060	0.051	0.042	0.039	0.036	0.034	0.033	1.79
11	0.341	0.335	0.310	0.399	0.232	0.206	0.180	0.195	0.106	0.083	0.065	0.026	0.054	0.033	0.044	0.024	0.055	0.020	0.020	1.57
13	0.331	0.324	0.252	0.345	0.285	0.121	0.227	0.162	0.099	0.077	0.060	0.042	0.034	0.030	0.030	0.022	0.015	0.018	0.018	1.44
15	0.308	0.302	0.219	0.280	0.300	0.161	0.198	0.117	0.095	0.074	0.058	0.045	0.034	0.030	0.022	0.022	0.018	0.018	0.018	1.34
17	0.275	0.270	0.204	0.300	0.274	0.194	0.172	0.099	0.083	0.064	0.050	0.033	0.029	0.025	0.021	0.018	0.015	0.015	0.015	1.25
19	0.296	0.289	0.204	0.299	0.281	0.203	0.173	0.110	0.073	0.055	0.041	0.022	0.021	0.018	0.016	0.013	0.012	0.010	0.010	1.21
21	0.348	0.338	0.245	0.304	0.292	0.232	0.167	0.112	0.067	0.048	0.034	0.016	0.017	0.013	0.013	0.009	0.009	0.007	0.007	1.23
23	0.389	0.376	0.283	0.319	0.276	0.230	0.151	0.084	0.061	0.041	0.028	0.016	0.010	0.010	0.009	0.006	0.004	0.005	0.004	1.17
25	0.387	0.373	0.305	0.315	0.228	0.193	0.133	0.056	0.052	0.034	0.022	0.014	0.007	0.007	0.007	0.004	0.003	0.003	0.003	1.03
27	0.394	0.379	0.318	0.336	0.191	0.204	0.134	0.053	0.046	0.029	0.019	0.012	0.005	0.006	0.004	0.003	0.002	0.002	0.002	1.00
29	0.413	0.397	0.334	0.348	0.188	0.213	0.133	0.047	0.042	0.026	0.016	0.008	0.005	0.004	0.004	0.002	0.001	0.002	0.002	1.00
31	0.431	0.413	0.347	0.329	0.194	0.189	0.124	0.041	0.037	0.022	0.013	0.006	0.004	0.003	0.002	0.002	---	---	---	0.95
33	0.431	0.412	0.352	0.311	0.187	0.151	0.103	0.043	0.031	0.018	0.010	0.005	0.004	0.002	0.001	---	---	---	---	0.87
35	0.441	0.418	0.346	0.330	0.174	0.124	0.077	0.043	0.021	0.011	0.006	0.002	0.002	---	---	---	---	---	---	0.79
37	0.414	0.392	0.324	0.325	0.160	0.105	0.066	0.038	0.018	0.009	0.005	0.002	---	---	---	---	---	---	---	0.72
39	0.402	0.381	0.321	0.317	0.149	0.094	0.072	0.035	0.019	0.010	0.005	0.002	---	---	---	---	---	---	---	0.70
41	0.405	0.385	0.325	0.331	0.159	0.095	0.070	0.034	0.020	0.011	0.006	---	---	---	---	---	---	---	---	0.72
43	0.423	0.401	0.338	0.283	0.171	0.104	0.067	0.033	0.019	0.010	---	---	---	---	---	---	---	---	---	0.71
45	0.414	0.394	0.339	0.286	0.173	0.115	0.079	0.032	0.024	0.013	---	---	---	---	---	---	---	---	---	0.73
47	0.377	0.361	0.307	0.302	0.182	0.113	0.094	0.029	0.031	---	---	---	---	---	---	---	---	---	---	0.73
49	0.397	0.379	0.308	0.386	0.186	0.151	0.090	0.021	0.028	---	---	---	---	---	---	---	---	---	---	0.80
51	0.654	0.610	0.455	0.506	0.225	0.188	0.058	0.009	---	---	---	---	---	---	---	---	---	---	---	0.96
53	1.064	0.962	0.627	0.668	0.387	0.126	0.018	---	---	---	---	---	---	---	---	---	---	---	---	1.21
55	1.973	1.757	1.144	1.173	0.416	0.035	---	---	---	---	---	---	---	---	---	---	---	---	---	1.78
57	3.710	3.089	1.709	1.027	0.161	---	---	---	---	---	---	---	---	---	---	---	---	---	---	2.00
59	2.487	1.985	0.978	0.262	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	0.95
61	0.080	0.071	0.071	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	0.04
ds/dW	35.90	32.31	22.56	20.88	11.50	7.57	5.58	3.09	2.21	1.49	1.05	0.72	0.58	0.47	0.43	0.33	0.34	0.27	0.26	57.4
																				
En = 72.8 ± 2.0 MeV     Deuteron cross section errors																				
q (deg)	2.5*	10*	20	30	40	50	60	70	80*	90*	100*	110	120	130*	140	150*	160	170*	177.5*	
E (MeV)																				ds/dE
9	0.040	0.040	0.039	0.063	0.031	0.026	0.022	0.044	0.015	0.012	0.010	0.017	0.007	0.006	0.004	0.004	0.004	0.004	0.004	0.24
11	0.038	0.037	0.027	0.051	0.023	0.023	0.018	0.039	0.012	0.009	0.007	0.005	0.007	0.004	0.007	0.003	0.007	0.002	0.002	0.19
13	0.036	0.036	0.019	0.039	0.022	0.024	0.017	0.030	0.011	0.008	0.007	0.006	0.004	0.003	0.004	0.002	0.003	0.002	0.002	0.16
15	0.034	0.033	0.016	0.032	0.020	0.024	0.012	0.021	0.010	0.008	0.006	0.005	0.004	0.003	0.003	0.002	0.003	0.002	0.002	0.14
17	0.030	0.030	0.011	0.029	0.017	0.024	0.010	0.018	0.009	0.007	0.005	0.004	0.003	0.003	0.003	0.002	0.002	0.002	0.002	0.12
19	0.033	0.032	0.011	0.029	0.014	0.023	0.010	0.017	0.008	0.006	0.004	0.003	0.002	0.002	0.002	0.001	0.002	0.001	0.001	0.11
21	0.038	0.037	0.012	0.029	0.014	0.023	0.009	0.017	0.007	0.005	0.004	0.002	0.002	0.001	0.002	0.001	0.002	0.001	0.001	0.11
23	0.043	0.041	0.013	0.030	0.014	0.023	0.007	0.014	0.007	0.005	0.003	0.002	0.002	0.001	0.002	0.001	0.001	0.001	0.001	0.10
25	0.043	0.041	0.014	0.030	0.012	0.021	0.007	0.011	0.006	0.004	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.09
27	0.043	0.042	0.014	0.031	0.011	0.021	0.007	0.011	0.005	0.003	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.09
29	0.045	0.044	0.014	0.031	0.011	0.022	0.007	0.010	0.005	0.003	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.09
31	0.047	0.045	0.014	0.030	0.011	0.021	0.006	0.010	0.004	0.002	0.001	0.001	0.001	0.001	0.001	0.001	---	---	---	0.09
33	0.047	0.045	0.014	0.030	0.011	0.018	0.006	0.010	0.003	0.002	0.001	0.001	0.001	0.001	0.001	---	---	---	---	0.08
35	0.048	0.046	0.014	0.030	0.011	0.017	0.005	0.010	0.002	0.001	0.001	0.001	0.001	---	---	---	---	---	---	0.07
37	0.046	0.043	0.014	0.030	0.010	0.015	0.005	0.009	0.002	0.001	0.001	0.001	---	---	---	---	---	---	---	0.07
39	0.044	0.042	0.014	0.030	0.010	0.014	0.005	0.009	0.002	0.001	0.001	0.001	---	---	---	---	---	---	---	0.07
41	0.045	0.042	0.014	0.030	0.010	0.014	0.005	0.009	0.002	0.001	0.001	---	---	---	---	---	---	---	---	0.07
43	0.047	0.044	0.014	0.028	0.011	0.015	0.005	0.009	0.002	0.001	---	---	---	---	---	---	---	---	---	0.07
45	0.046	0.043	0.014	0.028	0.011	0.016	0.005	0.009	0.003	0.001	---	---	---	---	---	---	---	---	---	0.07
47	0.041	0.040	0.014	0.029	0.011	0.016	0.006	0.008	0.003	---	---	---	---	---	---	---	---	---	---	0.07
49	0.044	0.042	0.014	0.033	0.011	0.018	0.005	0.007	0.003	---	---	---	---	---	---	---	---	---	---	0.07
51	0.072	0.067	0.016	0.038	0.012	0.020	0.004	0.004	---	---	---	---	---	---	---	---	---	---	---	0.08
53	0.117	0.106	0.019	0.043	0.016	0.017	0.002	---	---	---	---	---	---	---	---	---	---	---	---	0.08
55	0.217	0.193	0.026	0.057	0.017	0.009	---	---	---	---	---	---	---	---	---	---	---	---	---	0.10
57	0.408	0.340	0.032	0.054	0.010	---	---	---	---	---	---	---	---	---	---	---	---	---	---	0.12
59	0.274	0.218	0.024	0.027	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	0.07
61	0.009	0.008	0.006	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	0.00
ds/dW	3.95	3.55	0.91	1.83	0.70	0.93	0.37	0.65	0.24	0.16	0.12	0.11	0.08	0.06	0.06	0.04	0.06	0.04	0.03	5.3
																				
																				
En = 72.8 ± 2.0 MeV     Triton cross sections																				
q (deg)	2.5*	10*	20	30	40	50	60	70	80*	90*	100*	110	120	130*	140*	150*	160*	170*	177.5*	
E (MeV)																				ds/dE
16.5	0.129	0.125	0.110	0.076	0.074	0.054	0.034	0.022	0.014	0.009	0.006	0.006	0.001	0.002	0.001	0.001	0.001	0.001	0.001	0.305
19.5	0.115	0.108	0.086	0.042	0.144	0.050	0.008	0.015	0.003	0.001	0.001	0.006	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.261
22.5	0.134	0.129	0.109	0.117	0.107	0.027	0.025	0.014	0.013	0.008	0.005	0.005	0.004	0.001	0.001	0.001	0.001	0.001	0.001	0.308
25.5	0.164	0.157	0.146	0.111	0.063	0.037	0.035	0.018	0.011	0.006	0.003	0.001	0.002	0.001	0.001	---	---	---	---	0.303
28.5	0.138	0.132	0.117	0.152	0.055	0.047	0.035	0.015	0.012	0.007	0.004	0.002	0.002	0.001	---	---	---	---	---	0.312
31.5	0.095	0.092	0.083	0.081	0.041	0.026	0.035	0.013	0.010	0.007	0.004	0.001	---	---	---	---	---	---	---	0.217
34.5	0.088	0.085	0.077	0.088	0.038	0.014	0.025	0.013	0.007	0.004	0.003	---	---	---	---	---	---	---	---	0.186
37.5	0.107	0.101	0.087	0.093	0.029	0.020	0.016	0.005	0.003	---	---	---	---	---	---	---	---	---	---	0.166
40.5	0.104	0.098	0.078	0.056	0.043	0.020	0.011	---	---	---	---	---	---	---	---	---	---	---	---	0.139
43.5	0.139	0.128	0.098	0.075	0.030	0.009	0.009	---	---	---	---	---	---	---	---	---	---	---	---	0.143
46.5	0.156	0.140	0.100	0.050	0.027	---	---	---	---	---	---	---	---	---	---	---	---	---	---	0.115
